"Seat_Class","Purpose_of_Travel","Customer_Type","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Eco Plus,Business travel,disloyal Customer,200,679.4000000000000000,2.2850000000000000,2.4500000000000000,3.1350000000000000,3.0600000000000000,3.0750000000000000,3.0450000000000000,2.7850000000000000,3.1650000000000000,3.1950000000000000,2.7400000000000000,3.1350000000000000,3.1100000000000000,15.3800000000000000,16.5376884422110553
Business,Business travel,disloyal Customer,1873,768.7896422851041111,2.5424452749599573,2.9145755472504004,2.9375333689268553,3.0784837159636946,3.0181526962092899,3.1153230112119594,3.7506673785371062,3.4271222637479979,4.2354511478910838,3.7405232247730913,4.2226374799786439,3.0683395621996797,14.0080085424452750,14.2604501607717042
Eco,Business travel,disloyal Customer,2689,674.7162513945704723,2.2566009669021941,2.6061732986240238,2.9866121234659725,3.0892525102268501,3.0740052063964299,3.1007809594644849,2.9616957976943102,3.1033841576794347,3.3558943845295649,2.9300855336556341,3.3986612123465972,3.0985496467088137,14.9036816660468576,15.6255128683327117
Eco Plus,Business travel,Loyalty program pax,812,720.3362068965517241,2.9642857142857143,2.8977832512315271,3.0406403940886700,3.1761083743842365,3.1564039408866995,3.1416256157635468,2.7967980295566502,2.9716748768472906,3.1354679802955665,2.6822660098522167,3.1564039408866995,3.1366995073891626,15.7339901477832512,16.8692971639950678
Eco,Business travel,Loyalty program pax,2358,701.3528413910093299,2.9414758269720102,2.9550466497031383,3.0046649703138253,3.2307039864291773,3.2510602205258694,3.2709923664122137,2.8977947413061917,3.0335029686174724,3.1692111959287532,2.7849872773536896,3.1628498727735369,3.1229855810008482,16.2260390161153520,16.9016183986371380
Business,Business travel,Loyalty program pax,10106,1886.6227983376212151,2.9494359786265585,2.9441915693647338,3.0075202849792203,3.4206412032455967,3.9264793192163071,3.7872550959825846,3.7145260241440728,3.7326340787650900,3.8078369285572927,3.5014842667722145,3.8110033643380170,3.5960815357213537,13.9729863447456956,14.1740942928039702
Eco,Personal Travel,disloyal Customer,35,756.3714285714285714,3.6571428571428571,2.5428571428571429,2.7142857142857143,2.9714285714285714,2.9714285714285714,3.0000000000000000,3.4857142857142857,3.0857142857142857,3.8571428571428571,3.2857142857142857,3.8857142857142857,2.9428571428571429,10.2000000000000000,10.6470588235294118
Business,Personal Travel,disloyal Customer,2,1909.5000000000000000,4.5000000000000000,4.0000000000000000,3.5000000000000000,3.5000000000000000,3.5000000000000000,3.5000000000000000,1.5000000000000000,2.0000000000000000,3.5000000000000000,2.0000000000000000,4.0000000000000000,3.5000000000000000,58.0000000000000000,55.5000000000000000
Eco,Personal Travel,Loyalty program pax,6482,792.2130515273063869,3.6224930576982413,2.4571120024683740,2.9339709966059858,3.0356371490280778,3.1525763653193459,3.0197469916692379,3.2593335390311632,3.0799136069114471,3.5905584696081456,3.3451095340944153,3.6214131440913298,3.0780623264424560,14.2164455414995372,14.7610277046896765
Business,Personal Travel,Loyalty program pax,514,852.6848249027237354,3.6108949416342412,2.5175097276264591,2.9260700389105058,3.1186770428015564,3.5564202334630350,3.0194552529182879,3.1089494163424125,2.8968871595330739,3.3385214007782101,3.2879377431906615,3.3307392996108949,3.1712062256809339,12.7023346303501946,13.1634241245136187
Eco Plus,Personal Travel,Loyalty program pax,905,785.7502762430939227,3.5723756906077348,2.4972375690607735,2.8740331491712707,2.9613259668508287,3.0707182320441989,2.9425414364640884,3.2121546961325967,3.0651933701657459,3.4784530386740331,3.3513812154696133,3.5944751381215470,3.0022099447513812,11.9613259668508287,12.3192904656319290
